record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-6395,,Dynamical system analysis of a data-driven model constructed by reservoir computing,"This study evaluates data-driven models from a dynamical system perspective, such as unstable fixed points, periodic orbits, chaotic saddle, Lyapunov exponents, manifold structures, and statistical values. We find that these dynamical characteristics can be reconstructed much more precisely by a data-driven model than by computing directly from training data. With this idea, we predict the laminar lasting time distribution of a particular macroscopic variable of chaotic fluid flow, which cannot be calculated from a direct numerical simulation of the Navier-Stokes equation because of its high computational cost.",10.1103/physreve.104.044215,yes,unassignable,F1,,F1.1,,"Went to full text. Section II supplies the state map that the abstract reduced to ""a data-driven model constructed by reservoir computing"", which is R7's case exactly: r(t+dt) = (1-alpha) r(t) + alpha tanh(A r(t) + Win u(t)), with Table I fixing N = 2000, maximal eigenvalue of A at 0.99, regularisation 0.002 and 0.001, and the readout fit from the reservoir state vector to the desired output. Steps 1 and 3 settled, so F1 and F1.1. Worth noting why it looked unassignable at pass 1: the entire abstract is about the analysis, fixed points, Lyapunov exponents, manifold structure, and says nothing about what generated the state.",33
RC-4553,,Modular DFR: Digital Delayed Feedback Reservoir Model for Enhancing Design Flexibility,"A delayed feedback reservoir (DFR) is a type of reservoir computing system well-suited for hardware implementations owing to its simple structure. Most existing DFR implementations use analog circuits that require both digital-to-analog and analog-to-digital converters for interfacing. However, digital DFRs emulate analog nonlinear components in the digital domain, resulting in a lack of design flexibility and higher power consumption. In this paper, we propose a novel modular DFR model that is suitable for fully digital implementations. The proposed model reduces the number of hyperparameters and allows flexibility in the selection of the nonlinear function, which improves the accuracy while reducing the power consumption. We further present two DFR realizations with different nonlinear functions, achieving 10× power reduction and 5.3× throughput improvement while maintaining equal or better accuracy.",10.1145/3609105,yes,F2,F2,,,,"""Delayed feedback reservoir"" states the mechanism, propagation delay round a feedback loop with few nodes, so F2. Subclass blank: ""modular"" here means decoupling the nonlinear function from the model so it can be swapped, and it doesn't tell me whether there's one loop (F2.1) or several (F2.2).",6
RC-0387,,High-order fuzzy cognitive maps and randomized networks for time series and nonlinear dynamical systems,"Os mapas cognitivos nebulosos (FCM, do inglês Fuzzy Cognitive Maps) surgiram como métodos interpretáveis das Séries Temporais Nebulosas (FTS, do inglês Fuzzy Time Series) para uma variedade de aplicações no campo de previsão. A construção da estrutura dos FCMs e a extração das conexões ponderadas entre os conceitos compõem a contribuição central das abordagens baseadas em FCMs na literatura. Apesar do sucesso das metodologias propostas, ainda existem algumas lacunas e limitações nesse domínio. Para cobrir alguns desses desafios, esta tese apresenta novas técnicas de previsão baseadas em FCMs para prever séries temporais univariadas e multivariadas, focando no design da nova arquitetura e na aceleração da fase de treinamento. Assim, a principal contribuição desta tese é introduzir novas técnicas de previsão pela fusão de FTS e FCMs para gerar FCMs aleatórios de alta ordem (R-HFCM, do inglês Randomized High-Order FCM) como modelos de computação de reservatório pela primeira vez na literatura. O R-HFCM é um tipo de rede de estado de eco (ESN, do inglês Echo State Network ), onde a camada do reservatório consiste em um grupo de sub-reservatórios de tal forma que os pesos dentro de cada sub-reservatório são escolhidos aleatoriamente de acordo com a inicialização de pesos do ESN. Os experimentos computacionais demonstram que o R-HFCM supera em termos de precisão e velocidade de treinamento quando comparado aos FCMs tradicionais treinados por algoritmos evolutivos como o algoritmo genético (GA, do inglês Genethic Algorithm). Para preencher a ausência de modelos de Entrada Múltipla e Saída Múltipla (MIMO, do inglês Multiple-Input Multiple-Output), extensões do método R-HFCM univariado foram apresentadas para lidar com a previsão de séries temporais de baixa e alta dimensionalidade. Vale ressaltar que, em ambos os métodos MIMO, apenas a camada de saída é treinável utilizando o método dos mínimos quadrados por ser de baixo custo computacional. Os métodos propostos obtiveram resultados promissores e competitivos em comparação com uma variedade de métodos de aprendizado profundo e aprendizado de máquina em termos de precisão e parcimônia.",,no,unassignable,unassignable,,,,"Not eligible on two independent grounds: not-eligible:publication-type and not-english (§4.2). The record is a doctoral thesis, ""esta tese"", it has no DOI, and its indexed abstract is in Portuguese. A thesis is not an article, conference paper, book chapter or preprint under §4.1, and no English full text is evidenced. The family is fully determined by the abstract, so I will put it here since the convention for an ineligible record is unassignable: R-HFCM is described as a type of ESN whose reservoir layer is a group of sub-reservoirs, each internally random, with only the output layer trained by least squares. That is F1, and F1.4 rather than F1.1, because a group of disjoint sub-reservoirs is a deliberately modular, block-diagonal coupling matrix, both words being in F1.4's criterion, and it is the thesis's central design claim. If theses are later ruled in scope, this record is F1.4 and does not need re-reading.",14
RC-4945,,Universal Set of Observables for Forecasting Physical Systems Through Causal Embedding,"We demonstrate when and how an entire left-infinite orbit of an underlying dynamical system or observations from such left-infinite orbits can be uniquely represented by a pair of elements in a different space, a phenomenon which we call \textit{causal embedding}. The collection of such pairs is derived from a driven dynamical system and is used to learn a function which together with the driven system would: (i). determine a system that is topologically conjugate to the underlying system (ii). enable forecasting the underlying system's dynamics since the conjugacy is computable and universal, i.e., it does not depend on the underlying system (iii). guarantee an attractor containing the image of the causally embedded object even if there is an error made in learning the function. By accomplishing these we herald a new forecasting scheme that beats the existing reservoir computing schemes that often lead to poor long-term consistency as there is no guarantee of the existence of a learnable function, and overcomes the challenges of stability in Takens delay embedding. We illustrate accurate modeling of underlying systems where previously known techniques have failed.",10.1109/tnnls.2025.3632965,yes,unassignable,F1,,F1.1,,"Went to full text. The paragraph headed ""An example of g"" makes the abstract's ""driven dynamical system"" concrete: eq. (1), x(n+1) = (1-a) x(n) + a tanh(A u(n) + alpha B x(n)) with A and B invertible N by N matrices, described later as ""an arbitrarily generated RNN"" combined with ""a deep learning feedforward network"". An untrained recurrent state map gives I2, the trained nonlinear readout gives I3 with D2 nonlinear-readout, and delay-coordinate vectors fed sequentially give I1. So F1 and F1.1 on the leaky-tanh update. I decided against a hybrid, and this is the record where another coder could most reasonably differ from me: the input is a Takens delay-coordinate window, which is F3-shaped, but §2 asks how the state is generated, and the state is x(n), and the pair of x(n-1) and x(n), generated recurrently. The delay window is input encoding, not a state-generation mechanism, so I didn't record F1xF3. One caveat I'd rather state than bury: the record is the 2025 journal article, but the version available to read is the April 2023 preprint, in which the numerical results are qualitative, recurrence plots and PCA, with the quantitative comparison deferred to a companion reference. I've coded eligible on membership, which doesn't change between versions, and I'm flagging that §4.1's quantitative-result criterion is unverified against the version actually in the corpus.",67
RC-0175,,Tutorial on Sustainable Deep Learning for Time-series: Reservoir Computing,International audience,,no,unassignable,unassignable,,,,"Not eligible, not-primary under §4.2, R8. The title says ""Tutorial"". The abstract field contains only the string ""International audience"", which is a deposit artefact, so the title is the whole of the evidence here, and it's enough.",2
RC-4437,,Phase Transition Adaptation,"Artificial Recurrent Neural Networks are a powerful information processing abstraction, and Reservoir Computing provides an efficient strategy to build robust implementations by projecting external inputs into high dimensional dynamical system trajectories. In this paper, we propose an extension of the original approach, a local unsupervised learning mechanism we call Phase Transition Adaptation, designed to drive the system dynamics towards the 'edge of stability'. Here, the complex behavior exhibited by the system elicits an enhancement in its overall computational capacity. We show experimentally that our approach consistently achieves its purpose over several datasets.",10.1109/ijcnn52387.2021.9534006,yes,F1,F1,,,,"Thinner than I'd like, and I want what carries it on the record. The abstract states recurrent neural networks projecting inputs ""into high dimensional dynamical system trajectories"", and proposes a local unsupervised rule acting on the system's dynamics. Local implies per-unit or per-synapse, so steps 1 and 3 are both evidenced, which is more than R7's bare-term case, though not by a great deal. Subclass blank: nothing says continuous activations or spikes, and I'm not willing to read F1.1 off the author lineage. D3 unsupervised, so §1.2 keeps it in.",11
RC-6257,,Optimizing quantum noise-induced reservoir computing for nonlinear and chaotic time series prediction,"Quantum reservoir computing is strongly emerging for sequential and time series data prediction in quantum machine learning. We make advancements to the quantum noise-induced reservoir, in which reservoir noise is used as a resource to generate expressive, nonlinear signals that are efficiently learned with a single linear output layer. We address the need for quantum reservoir tuning with a novel and generally applicable approach to quantum circuit parameterization, in which tunable noise models are programmed to the quantum reservoir circuit to be fully controlled for effective optimization. Our systematic approach also involves reductions in quantum reservoir circuits in the number of qubits and entanglement scheme complexity. We show that with only a single noise model and small memory capacities, excellent simulation results were obtained on nonlinear benchmarks that include the Mackey-Glass system for 100 steps ahead in the challenging chaotic regime.",10.1038/s41598-023-45015-4,yes,F1,F1,,,,"R5 says quantum isn't a family, so I ran the cascade on the state map. Qubits with a stated entanglement scheme are addressable units with a designed coupling, so F1. The subclass is blank deliberately, and it's a Tier-2 completion item rather than missing information: no F1 subclass fits a qubit register. F1.1 wants continuous activations with a leaky or tanh update, F1.2 wants spike trains, F1.5 wants a phase or oscillation amplitude with oscillatory coupling, and the state variables here are measured observables of an entangled register. F1.4 is arguable since the paper reduces the entanglement scheme's complexity, but that's a statement about the paper's aims, not about the node state. Membership is fine either way: programming tunable noise models for optimisation is hp-optimized or physically-tuned under §1.2, and both are included.",12
RC-3326,,Time-multiplexed Reservoir Computing with Semiconductor Laser Systems,"This chapter will focus on a specific variant of reservoir computing (RC) which is based on time-multiplexing the input and readout layers. It is often referred to as delay-based or time-delay RC, as it can easily be realized with a single physical systems subject to self-feedback and does not require a network of numerous coupled nonlinear units. In this time-multiplexed scheme, the nonlinear transformation and mixing of the input data is realized via the internal dynamics of the nonlinear physical system. Strongly nonlinear optical elements, for example semiconductor lasers subject to optical feedback, are promising candidates and offer fast data processing rates combined with the possibility of on-chip hardware realization. The time-delay of the feedback loop has a twofold purpose; it induces a complex response and provides short term memory. While the intrinsic dynamical nonlinearity can be exploited for the computing, it can also lead to intrinsic instabilities that prevent stable computing operation. We will discuss this in detail and elaborate how the bifurcation structure, i.e. the phase diagram in parameter space, can help to find good operation conditions for delay-based RC. Please also see the chapter by Stephan Wong, Doris E. Reiter and Sang Soon Oh for a machine learning based method to determine phase diagrams. We will also focus on the fact that the specific memory requirements for a given reservoir computing task, for example the prediction of a complex time series, are not unique and vary a lot between tasks, leading to different prerequisites for the dynamical system in use.",10.1007/978-3-032-04129-6_18,no,unassignable,unassignable,,,,"Not eligible, not-primary under §4.2, R8. ""This chapter will focus on..."", ""We will discuss..."", ""Please also see the chapter by..."" - it's a tutorial chapter. This is R8's exemplar case and I want it on the record that I did not code it. The family here is about as determinate as it ever gets, F2.1, a single system subject to self-feedback with time-multiplexed input and readout, said in so many words, and R8 tells me to code the record and not the systems it describes, however determinate they are.",3
RC-1991,,Richness of Node Embeddings in Graph Echo State Networks,"Graph Echo State Networks (GESN) have recently proved effective in node classification tasks, showing particularly able to address the issue of heterophily.While previous literature has analyzed the design of reservoirs for sequence ESN and GESN for graph-level tasks, the factors that contribute to rich node embeddings are so far unexplored.In this paper we analyze the impact of different reservoir designs on node classification accuracy and on the quality of node embeddings computed by GESN using tools from the areas of information theory and numerical analysis.In particular, we propose an entropy measure for quantifying information in node embeddings.",10.14428/esann/2023.es2023-51,yes,F1,F1,,,,"A graph echo state network holds a state per graph node, updated from its neighbours, so I have addressable units and a coupling given explicitly by the graph: F1. Subclass blank on a Tier-2 point rather than for want of information. The F1.1 and F1.4 pair doesn't anticipate a reservoir whose coupling matrix is supplied by the data. It isn't a random-initialisation detail, which is F1.1's note, and it isn't the authors' design claim, which is F1.4's requirement. It's the input graph.",9
RC-2584,,Prediction of unobserved bifurcation by unsupervised extraction of slowly time-varying system parameter dynamics from time series using reservoir computing,"Introduction: Nonlinear and non-stationary processes are prevalent in various natural and physical phenomena, where system dynamics can change qualitatively due to bifurcation phenomena. Machine learning methods have advanced our ability to learn and predict such systems from observed time series data. However, predicting the behavior of systems with temporal parameter variations without knowledge of true parameter values remains a significant challenge. Methods: This study uses reservoir computing framework to address this problem by unsupervised extraction of slowly varying system parameters from time series data. We propose a model architecture consisting of a slow reservoir with long timescale internal dynamics and a fast reservoir with short timescale dynamics. The slow reservoir extracts the temporal variation of system parameters, which are then used to predict unknown bifurcations in the fast dynamics. Results: Through experiments on chaotic dynamical systems, our proposed model successfully extracted slowly varying system parameters and predicted bifurcations that were not included in the training data. The model demonstrated robust predictive performance, showing that the reservoir computing framework can handle nonlinear, non-stationary systems without prior knowledge of the system's true parameters. Discussion: Our approach shows potential for applications in fields such as neuroscience, material science, and weather prediction, where slow dynamics influencing qualitative changes are often unobservable.",10.3389/frai.2024.1451926,yes,F1,F1,,F1.3,,"Assigned by elimination on the cascade rather than from any node-level statement, and I want that visible. Step 1 is yes, from the long and short timescale internal dynamics. Step 2 is no, since separating timescales by relaxation isn't transit delay round a loop. F3 is contradicted outright by ""internal dynamics"". F4 wants probes in an undesigned medium and this is a designed model architecture. That leaves F1, and F1.3 exactly: two reservoir stages in sequence, slow feeding fast, each with its own state. Unsupervised extraction, so D3 unsupervised.",9
RC-1590,,Signal–noise separation using unsupervised reservoir computing,"Removing noise from a signal without knowing the characteristics of the noise is a challenging task. This paper introduces a signal-noise separation method based on time-series prediction. We use Reservoir Computing (RC) to extract the maximum portion of ""predictable information"" from a given signal. Reproducing the deterministic component of the signal using RC, we estimate the noise distribution from the difference between the original signal and the reconstructed one. The method is based on a machine-learning approach and requires no prior knowledge of either the deterministic signal or the noise distribution. It provides a way to identify additivity/multiplicativity of noise and to estimate the signal-to-noise ratio (SNR) indirectly. The method works successfully for combinations of various signals and noise, including the chaotic signal and the highly oscillating sinusoidal signal, which are corrupted by non-Gaussian additive/multiplicative noise. The separation performances are robust and notably outstanding for signals with strong noise, even for those with negative SNR.",10.1063/5.0278540,yes,unassignable,F1,,F1.1,,"Went to full text. Section IV supplies what the abstract's bare ""We use Reservoir Computing (RC)"" did not, R7's case again: ""a simple discrete type of RC, Echo State Network"", L nodes with states r(i), the update r(i+1) = (1-alpha) r(i) + alpha tanh(A r(i) + Win x(i-1)) with A an L by L matrix, and the reservoir size swept, with optimal node numbers of 260, 140 and 70 at three noise levels. So F1 and F1.1. It also confirms my pass-1 reading that the ""unsupervised"" in the title describes the task, no prior knowledge of signal or noise, and not reservoir adaptation, so D3 is not unsupervised.",30
RC-1110,,Lipreading Using Liquid State Machine with STDP-Tuning,"Lipreading refers to the task of decoding the text content of a speaker based on visual information about the movement of the speaker’s lips. With the development of deep learning in recent years, lipreading has attracted extensive research. However, the deep learning method requires a lot of computing resources, which is not conducive to the migration of the system to edge devices. Inspired by the work of Spiking Neural Networks (SNNs) in recognizing human actions and gestures, we propose a lipreading system based on SNNs. Specifically, we construct the front-end feature extractor of the system using Liquid State Machine (LSM). On the other hand, a heuristic algorithm is used to select appropriate parameters for the classifier in the backend. On small-scale lipreading datasets, our recognition accuracy achieves good results. We claim that our network performs better in terms of accuracy and ratio of learned parameters compared to other networks, and has superior advantages in terms of network complexity and training cost. On the AVLetters dataset, our model achieves a 5% improvement in accuracy over traditional methods and a 90% reduction in parameters over the state-of-the-art.",10.3390/app122010484,yes,F1,F1,,F1.2,,"""Liquid State Machine"" is a named architecture, and §3 makes F1.2 ""the LSM lineage"" explicitly. With the stated SNN basis the node state is a spike train, so F1.2. STDP is local and task-agnostic, so D3 unsupervised and §1.2 keeps it in. The backend classifier is the trained readout, so I3 holds.",5
RC-2290,,Active power filter with enhanced echo state network in radar power supply system,"Abstract There have been concerns raised on load non‐linearity as more and more load types are being introduced into the radar power supply system. The non‐linear load produces harmonic current while it seriously threatens the normal and safe operation environment of other system equipment. It can be difficult to design shunt active power filter (APF) to eliminate the harmonic effect while achieving stability and reliability. This paper designs a hybrid optimization shunt active power filter, which adopts enhanced echo state network (ESN) to predict harmonics and reduce the delay problem in traditional control. The prediction performance of enhanced ESN is verified by simulation. The modelling and simulation of the hybrid optimization shunt APF are completed in Simulink, and the parameters of APF are reset according to the radar power supply system. Furthermore, a prototype based on DSP TMS320F28335 was developed to test whether the theory is feasible and accurate. The experimental results demonstrate that the APF with harmonic prediction has improved steady‐state response performance and rapid dynamic response performance.",10.1049/pel2.12550,yes,F1,F1,,,,"ESN is named, so F1. Subclass blank rather than F1.1: ""enhanced ESN"" announces a departure from the default and the abstract never says what the enhancement is, so the default-ESN reading isn't available here. One thing for whoever does extraction: the record reports a Simulink simulation and a DSP TMS320F28335 prototype, which R1 turns into two records with a shared record_group_id and separate D1 and D6. The packet is one row per record with no facet columns so the split can't be expressed, but the family is F1 for both halves so nothing is at risk here.",7
RC-6254,,Protein Structured Reservoir Computing for Spike-Based Pattern Recognition,"Nowadays we witness a miniaturisation trend in the semiconductor industry backed up by groundbreaking discoveries and designs in nanoscale characterisation and fabrication. To facilitate the trend and produce ever smaller, faster and cheaper computing devices, the size of nanoelectronic devices is now reaching the scale of atoms or molecules - a technical goal undoubtedly demanding for novel devices. Following the trend, we explore an unconventional route of implementing reservoir computing on a single protein molecule and introduce neuromorphic connectivity with a small-world networking property. We have chosen Izhikevich spiking neurons as elementary processors, corresponding to the atoms of verotoxin protein, and its molecule as a `hardware' architecture of the communication networks connecting the processors. We apply on a single readout layer, various training methods in a supervised fashion to investigate whether the molecular structured Reservoir Computing (RC) system is capable to deal with machine learning benchmarks. We start with the Remote Supervised Method, based on Spike-Timing-Dependent-Plasticity, and carry on with linear regression and scaled conjugate gradient back-propagation training methods. The RC network is evaluated as a proof-of-concept on the handwritten digit images from the standard MNIST and the extended MNIST datasets and demonstrates acceptable classification accuracies in comparison with other similar approaches.",10.1109/tpds.2021.3068826,yes,F1,F1,,,,"Izhikevich spiking neurons as the units, with connectivity taken from the verotoxin molecule and a small-world property, so F1. Subclass blank on a Tier-2 overlap: F1.2 and F1.4 are both squarely satisfied and the lists give no precedence rule. The node state is a spike train, which is F1.2's criterion met exactly, and the coupling is deliberately constrained, small-world, and is the paper's central design claim and its title, which is F1.4's criterion met exactly. That isn't missing information, it's two criteria both being true. Membership is clean: the training methods, scaled conjugate gradient backpropagation included, are applied ""on a single readout layer"", so no task error reaches the reservoir.",12
RC-5337,,Data and Code: Decreased spinal inhibition leads to undiversified locomotor patterns,"Data and Code belonging to the article 'Increased spinal excitation causes decreased locomotor complexity'.Available as preprint at: https://www.biorxiv.org/content/10.1101/2022.04.21.489087v2 Included filesCODE: - runExampleNet.m: this trains and tests an example network and plots the network outputs. The settings for the signal and the network can all be changed in this file. - runMFT.m: this runs the meanfield theory analysis for various levels of Imbalance and g_tot - createSignal.m: function to create the test and train signals, called from runExampleNet.m - ESN_EI.m: function for the echo state network with distinct excitatory and inhibitory populations, called from runExampleNet.m - getNPG.m: function to get parameter values for the desired imbalances and overall parameter levels DATA: Myonardo (a 3D musculoskeletal model) output for walking slowly (XXX=WalkingI), walking fast (XXX=WalkingII) and running (XXX=Running), used in createSignal. Each folder contains: - XXX.qtm: File with the labelled qualisys data - XXX.mat: File with the recorded kinetic ('force') and kinematic ('trajectories') data - modelOutput.mat: the relevant outputs of the myonardo simulation, used to create the signals in createSignal: - includes: time, right heel marker, muscle length, muscle velocity and muscle activation - musclenames.mat: file indicating which column corresponds to what muscle, necessary for signal creation in createSignal. Upon request, the model simulations results can be shared (several GB). Contact: mdegraaf@uni-muenster.de",10.5281/zenodo.6502264,no,unassignable,unassignable,,,,"Not eligible: not-eligible:publication-type (§4.2). The record is a Zenodo data-and-code deposit belonging to an article rather than a paper, and its abstract is a file manifest. It is the publication object that fails §4.1, not the content, which is why this and not not-primary; not duplicate either, on R9's reasoning that a distinct publication object with its own DOI is not merged at dedup but excluded at screening with a stated code so that it stays visible in the flow. R8 bites usefully on the classification too, because the manifest names ""ESN_EI.m: function for the echo state network with distinct excitatory and inhibitory populations"", which would determine a family on its own. It is still a data deposit. Not coded.",4
RC-6374,,Reservoirs Learn to Learn,"We consider reservoirs in the form of liquid state machines, i.e., recurrently connected networks of spiking neurons with randomly chosen weights. So far only the weights of a linear readout were adapted for a specific task. We wondered whether the performance of liquid state machines can be improved if the recurrent weights are chosen with a purpose, rather than randomly. After all, weights of recurrent connections in the brain are also not assumed to be randomly chosen. Rather, these weights were probably optimized during evolution, development, and prior learning experiences for specific task domains. In order to examine the benefits of choosing recurrent weights within a liquid with a purpose, we applied the Learning-to-Learn (L2L) paradigm to our model: We optimized the weights of the recurrent connections -- and hence the dynamics of the liquid state machine -- for a large family of potential learning tasks, which the network might have to learn later through modification of the weights of readout neurons. We found that this two-tiered process substantially improves the learning speed of liquid state machines for specific tasks. In fact, this learning speed increases further if one does not train the weights of linear readouts at all, and relies instead on the internal dynamics and fading memory of the network for remembering salient information that it could extract from preceding examples for the current learning task. This second type of learning has recently been proposed to underlie fast learning in the prefrontal cortex and motor cortex, and hence it is of interest to explore its performance also in models. Since liquid state machines share many properties with other types of reservoirs, our results raise the question whether L2L conveys similar benefits also to these other reservoirs.",10.1007/978-981-13-1687-6_3,no,F1,unassignable,,,,"The family was clear from the abstract at pass 1 and I recorded F1.2 there: ""liquid state machines, i.e., recurrently connected networks of spiking neurons with randomly chosen weights"". But the membership question the abstract raised was sharp enough that I went outside my pass-2 worklist and read the paper anyway, which I'm flagging as a departure from the two-pass rule rather than burying. It comes out ineligible: not-rc:trained-internals under §4.2. Section 4.2 says ""The objective for the outer loop, as given in equation (3), was optimized using backpropagation through time"", and eq. (3) minimises over the hyperparameters Theta = {W_in, W_rec, W_out_init}, i.e. over the recurrent weights of the reservoir itself. §1.2 has a row for precisely this - backpropagation-through-time into reservoir weights, exclude, it violates I2, it's an RNN - so this isn't a judgement call once the method is known. The second demonstration is worse rather than better: there ""ALL synaptic weights are determined by the outer loop"", with no readout learning in the inner loop at all, which fails I3 as well. The authors do suggest a gradient-free outer loop, simulated annealing or stochastic search, in the discussion, and that variant would have been the §1.2 contested-evolved case and included with a flag, but it isn't what was run. I've left family_abstract as F1 so the abstract-pass rate stays comparable, and moved only the final column.",50
RC-1478,,A Multiple-Input Multiple-Output Reservoir Computing System Subject to Optoelectronic Feedbacks and Mutual Coupling,"In this paper, a multiple-input multiple-output reservoir computing (RC) system is proposed, which is composed of multiple nonlinear nodes (Mach-Zehnder modulators) and multiple mutual-coupling loops of optoelectronic delay lines. Each input signal is added into every mutual-coupling loop to implement the simultaneous recognition of multiple route signals, which results in the signal processing speed improving and the number of routes increasing. As an example, the four-route input and four-route output RC is simultaneously realized by numerical simulations. The results show that this type of RC system can successfully recognize the four-route optical packet headers with 3-bit, 8-bit, 16-bit, and 32-bit, and four-route independent digital speeches. When the white noise is added to the signals such that the signal-to-noise ratio (SNR) of the optical packet headers and the digital speeches are 35 dB and 20 dB respectively, the normalized root mean square errors (NRMSEs) of the signal recognition are all close to 0.1. The word error rates (WERs) of the optical packet header recognition are 0%. The WER of the digital speech recognition is 1.6%. The eight-route input and eight-route output RC is also numerically simulated. The recognition of the eight-route 3-bit optical packet headers is implemented. The parallel processing of multiple-route signals and the high recognition accuracy are implemented by this proposed system.",10.3390/e22020231,yes,F2,F2,,F2.2,,"I considered F1 seriously here, because the system has multiple addressable nodes, the Mach-Zehnder modulators, with a designed coupling between them. The §2.1 dominance test settles it: take the delay lines away and the modulators are instantaneous nonlinearities with no history dependence at all, but take the mutual coupling away and each node keeps its own delay loop and its memory. Delay dominates, so F2, and ""multiple mutual-coupling loops of optoelectronic delay lines"" is F2.2's criterion verbatim. I didn't record a hybrid, because the mutual coupling is itself realised through delay lines, so there's no second, non-delay mechanism to name.",13
RC-3140,,Neural-Based Ensembles and Unorganized Machines to Predict Streamflow Series from Hydroelectric Plants,"Estimating future streamflows is a key step in producing electricity for countries with hydroelectric plants. Accurate predictions are particularly important due to environmental and economic impact they lead. In order to analyze the forecasting capability of models regarding monthly seasonal streamflow series, we realized an extensive investigation considering: six versions of unorganized machines—extreme learning machines (ELM) with and without regularization coefficient (RC), and echo state network (ESN) using the reservoirs from Jaeger’s and Ozturk et al., with and without RC. Additionally, we addressed the ELM as the combiner of a neural-based ensemble, an investigation not yet accomplished in such context. A comparative analysis was performed utilizing two linear approaches (autoregressive model (AR) and autoregressive and moving average model (ARMA)), four artificial neural networks (multilayer perceptron, radial basis function, Elman network, and Jordan network), and four ensembles. The tests were conducted at five hydroelectric plants, using horizons of 1, 3, 6, and 12 steps ahead. The results indicated that the unorganized machines and the ELM ensembles performed better than the linear models in all simulations. Moreover, the errors showed that the unorganized machines and the ELM-based ensembles reached the best general performances.",10.3390/en13184769,yes,unassignable,unassignable,,,,"Went to full text and it stays unassignable. This is the one record in my file where the instrument can't classify a record, as opposed to the record failing to inform me, which is the distinction §7 asks to have tabulated separately. The full text confirms what the abstract implied: one record reporting six ""unorganized machines"" across two families. Section 3.4, extreme learning machines, ""the synaptic weights of the hidden layer are chosen randomly and remain untuned during the training process"", and §4, ""Predictions were made using up to the last six delays of the samples as inputs"", so the input is temporal, §1.2 includes them rather than excluding them as static, and a temporal ELM is F3.2 by §5's own criterion. Section 3.5, echo state networks using Jaeger's and Ozturk et al.'s reservoir designs, fully interconnected dynamic reservoir, so F1. Not a hybrid and not a symmetric label: these are separate models compared against each other, not one system combining mechanisms, so §2.1 doesn't apply and family_symmetric would misuse a field meant for a single system. A ruling is needed. R1 splits a record reporting a simulation and a device, but nothing splits a record reporting systems in two different families. Extending R1 to architecture, two records with a shared record_group_id, one F3.2 and one F1, is the obvious fix and would resolve this without re-reading it. The full-text pass was never going to fix this on its own; it's a unit-of-analysis problem.",55
RC-5870,,Modulating Reservoir Dynamics via Reinforcement Learning for Efficient Robot Skill Synthesis,"A random recurrent neural network, called a reservoir, can be used to learn robot movements conditioned on context inputs that encode task goals. The Learning is achieved by mapping the random dynamics of the reservoir modulated by context to desired trajectories via linear regression. This makes the reservoir computing (RC) approach computationally efficient as no iterative gradient descent learning is needed. In this work, we propose a novel RC-based Learning from Demonstration (LfD) framework that not only learns to generate the demonstrated movements but also allows online modulation of the reservoir dynamics to generate movement trajectories that are not covered by the initial demonstration set. This is made possible by using a Reinforcement Learning (RL) module that learns a policy to output context as its actions based on the robot state. Considering that the context dimension is typically low, learning with the RL module is very efficient. We show the validity of the proposed model with systematic experiments on a 2 degrees-of-freedom (DOF) simulated robot that is taught to reach targets, encoded as context, with and without obstacle avoidance constraint. The initial data set includes a set of reaching demonstrations which are learned by the reservoir system. To enable reaching out-of-distribution targets, the RL module is engaged in learning a policy to generate dynamic contexts so that the generated trajectory achieves the desired goal without any learning in the reservoir system. Overall, the proposed model uses an initial learned motor primitive set to efficiently generate diverse motor behaviors guided by the designed reward function. Thus the model can be used as a flexible and effective LfD system where the action repertoire can be extended without new data collection.",10.48550/arxiv.2411.10991,yes,F1,F1,,F1.1,,"""A random recurrent neural network, called a reservoir"", with the readout fit ""via linear regression"" - the state map and the readout are both stated, so F1 and F1.1. Membership is clean despite the reinforcement learning: the RL module learns a policy that outputs context, which is an input to the reservoir, and the abstract says the trajectory is achieved ""without any learning in the reservoir system"". No task error reaches the state map.",4
RC-1849,,Reservoir computing with state-dependent time delay,"We examine a new design of reservoir computing based on an otherwise linear dynamical system subject to feedback in which a delay time linearly depends on the system's state. Despite the apparent linearity of the system under casual perusal, the system nonetheless possesses a nonlinearity that can be used for time-delay reservoir computing. We find that close multiple Hopf bifurcation points lead to a rich sawtooth-shaped transient response to input signals, which can be beneficial for computing capabilities. We benchmark the reservoir computing system's memory capacity and performance on solving delayed XOR, Iris flower classification tasks, and the Santa Fe time-series prediction task. We demonstrate how the nonlinearity and the memory capacity of the system can be tuned by changing the time-delay dependence.",10.1103/physreve.111.035313,yes,F2,F2,,F2.1,,"One otherwise-linear dynamical system subject to feedback with a single state-dependent delay, and the abstract calls it time-delay reservoir computing, so F2 and F2.1, one element and one loop. Not F2.2: one delay whose length depends on the state is still one delay path. I1 holds despite the Iris task being static, because delayed XOR and Santa Fe are temporal and memory capacity is benchmarked directly.",5
