ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b
0.9128,,,,RC-2370,Misestimate of the performance in VCSEL-based reservoir computing systems with optical information injection by high surface reflectivity,2022,Applied Optics,10.1364/ao.475139,openalex,RC-2619,Misestimation of the Performance in Vcsel-Based Reservoir Computing Experimental Systems with Optical Information Injection Resulted by High Surface Reflectivity,2022,SSRN Electronic Journal,10.2139/ssrn.4167500,openalex
0.9118,,,,RC-4349,Deep learning for financial forecasting: A review of recent trends,2025,International Review of Economics & Finance,10.1016/j.iref.2025.104719,openalex,RC-4878,Deep Learning for Financial Forecasting: A Review of Recent Advancements,2025,SSRN Electronic Journal,10.2139/ssrn.5263710,openalex
0.9114,,,,RC-1740,Investigating Biologically Plausible Neural Networks for Reservoir Computing Solutions,2024,IEEE Access,10.1109/access.2024.3385339,openalex,RC-2402,Biologically Plausible Neural Networks for Reservoir Computing Solutions,2024,,10.36227/techrxiv.171036623.34011701/v1,openalex
0.9112,,,,RC-0733,Reservoir-computing based associative memory and itinerancy for complex dynamical attractors,2024,Nature Communications,10.1038/s41467-024-49190-4,openalex,RC-3423,Reservoir-computing based associative memory for complex dynamical attractors,2023,Research Square,10.21203/rs.3.rs-3454804/v1,openalex
0.9111,,,,RC-5620,HyperCOCO: Multi-sensory Hyper COgnitive COmputing for learning population level brain connectivity,2026,Medical Image Analysis,10.1016/j.media.2026.104156,arxiv|openalex,RC-5943,Multi-Sensory Cognitive Computing for Learning Population-level Brain Connectivity,2025,arXiv,,arxiv
0.9104,,,,RC-0155,Sustainable Deep Learning for Time-series: Reservoir Computing,2023,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-0175,Tutorial on Sustainable Deep Learning for Time-series: Reservoir Computing,2024,HAL (Le Centre pour la Communication Scientifique Directe),,openalex
0.9103,,,,RC-1434,Combining ensemble Kalman filter and reservoir computing to predict spatiotemporal chaotic systems from imperfect observations and models,2021,Geoscientific model development,10.5194/gmd-14-5623-2021,arxiv|openalex,RC-4084,"Supplementary material to ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models""",2020,,10.5194/gmd-2020-211-supplement,openalex
0.9091,,,,RC-0451,Photonic Physical Reservoir Computing with Tunable Relaxation Time Constant,2023,Advanced Science,10.1002/advs.202304804,openalex,RC-1135,Photonic Physical Reservoir Computing with Tunable Relaxation Time Constant (Adv. Sci. 3/2024),2024,Advanced Science,10.1002/advs.202470016,openalex
0.9091,,,,RC-1395,Characterizing climate pathways using feature importance on echo state networks,2024,Statistical Analysis and Data Mining The ASA Data Science Journal,10.1002/sam.11706,arxiv|openalex,RC-2960,Validating climate pathways using feature importance on echo state networks,2023,,10.2172/2431810,openalex
0.9084,,,,RC-1082,Few- and single-molecule reservoir computing experimentally demonstrated with surface-enhanced Raman scattering and ion gating,2024,Science Advances,10.1126/sciadv.adk6438,arxiv|openalex,RC-5800,Few-molecule reservoir computing experimentally demonstrated with surface enhanced Raman scattering and ion-gating stimulation,2023,arXiv (Cornell University),10.48550/arxiv.2307.09138,arxiv|openalex
0.9079,,,,RC-4759,Decreased spinal inhibition leads to undiversified locomotor patterns,2025,Biological Cybernetics,10.1007/s00422-025-01011-7,openalex,RC-5337,Data and Code: Decreased spinal inhibition leads to undiversified locomotor patterns,2024,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.6502264,openalex
0.907,,,,RC-2587,"Erratum: “On explaining the surprising success of reservoir computing forecaster of chaos? The universal machine learning dynamical system with contrasts to VAR and DMD” [Chaos 31(1), 013108 (2021)]",2021,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0050702,openalex,RC-6159,On explaining the surprising success of reservoir computing forecaster of chaos? The universal machine learning dynamical system with contrast to VAR and DMD,2021,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0024890,arxiv|openalex
0.9068,,,,RC-0540,Deep Echo State Network With Multiple Adaptive Reservoirs for Time Series Prediction,2021,IEEE Transactions on Cognitive and Developmental Systems,10.1109/tcds.2021.3062177,openalex,RC-2143,Double echo state network with multiple reservoirs for time-series prediction,2021,,10.1117/12.2626677,openalex
0.9065,,,,RC-2363,Reservoir Computing for Solving Ordinary Differential Equations,2023,International Journal of Artificial Intelligence Tools,10.1142/s0218213023500306,arxiv|openalex,RC-5725,Unsupervised Reservoir Computing for Solving Ordinary Differential Equations,2021,arXiv (Cornell University),10.48550/arxiv.2108.11417,arxiv|openalex
0.9043,,,,RC-1721,Photonic Reservoir Computing Using Optoelectronic Oscillators With Direct Laser Modulation,2024,Journal of Lightwave Technology,10.1109/jlt.2024.3488592,openalex,RC-1812,Demonstration of Reservoir Computing Using Optoelectronic Oscillators With Direct Laser Modulation,2024,IEEE Photonics Technology Letters,10.1109/lpt.2024.3477352,openalex
0.9037,,,,RC-2880,Small-World Echo State Networks for Nonlinear Time-Series Prediction,2023,Lecture notes in computer science,10.1007/978-981-99-8082-6_42,openalex,RC-2941,Dual-kernel echo state network for nonlinear time series prediction,2023,Proceedings of the Romanian Academy Series A Mathematics Physics Technical Sciences Information Science,10.59277/pra-ser.a.24.2.10,openalex
0.9032,,,,RC-1705,Detachable and Reusable: Reinforced π‐Ion Film for Modular Synaptic Reservoir Computing,2025,Advanced Materials,10.1002/adma.202506729,openalex,RC-3947,Detachable and Reusable: Reinforced π‐Ion Film for Modular Synaptic Reservoir Computing (Adv. Mater. 41/2025),2025,Advanced Materials,10.1002/adma.70826,openalex
0.9028,,,,RC-2278,Exploiting Bistability and Viscoelasticity in Reservoir Computing,2025,Nonlinear Dynamics,10.1007/s11071-025-11759-z,openalex,RC-3210,Correction to: Exploiting Bistability and Viscoelasticity in Reservoir Computing,2025,Nonlinear Dynamics,10.1007/s11071-025-11826-5,openalex
0.9022,,,,RC-1642,Neuromorphic Light‐Responsive Organic Matter for <i>in Materia</i> Reservoir Computing,2025,Advanced Materials,10.1002/adma.202501813,openalex,RC-3954,Neuromorphic Light‐Responsive Organic Matter for <i>in Materia</i> Reservoir Computing (Adv. Mater. 41/2025),2025,Advanced Materials,10.1002/adma.70825,openalex
0.902,,,,RC-3310,Reservoir computing based on laser subject to optoelectronic feedback,2020,,10.1109/iclo48556.2020.9285607,openalex,RC-3417,Experimental reservoir computing based on a laser subject to optoelectronic feedback,2024,,10.1109/iclo59702.2024.10624144,openalex
0.902,,,,RC-0987,A Correntropy-Based Echo State Network with Application to Time Series Prediction,2025,IEEE/CAA Journal of Automatica Sinica,10.1109/jas.2024.124932,openalex,RC-1021,A mirrored echo state network with application to time series prediction,2025,Information Sciences,10.1016/j.ins.2025.122260,openalex
0.902,,,,RC-3410,Optical Reservoir Computing Using Frequency Combs in Kerr Microresonators,2025,,10.1109/cleo/europe-eqec65582.2025.11110295,openalex,RC-3453,Optical reservoir computing with chaotic frequency combs in Kerr microresonators,2025,,10.1364/cleo_at.2025.jps200_125,openalex
0.9012,,,,RC-2054,Guest Editorial Special Issue on New Frontiers in Extremely Efficient Reservoir Computing,2022,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2022.3172586,openalex,RC-3415,Special Issue on New Frontiers in Extremely Efficient Reservoir Computing,2020,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2020.3003482,openalex
0.9,,,,RC-0081,Photonic Reservoir Computing,2019,Ghent University Academic Bibliography (Ghent University),10.1515/9783110583496,openalex,RC-2914,Photovoltaic Reservoir Computing,2023,,10.29363/nanoge.neumatdecas.2023.033,openalex
