ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b,proposed_decision,proposed_confidence,proposed_doi_checked,proposed_evidence,proposed_case_for_same,proposed_case_for_different
0.9862,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1002/aisy.202000085 and arXiv:2004.14942 return the identical 6-author list; title differs only in dash/hyphenation and Wiley soft-hyphen markup,RC-2672,"Memristors—From In‐Memory Computing, Deep Learning Acceleration, and Spiking Neural Networks to the Future of Neuromorphic and Bio‐Inspired Computing",2020,Advanced Intelligent Systems,10.1002/aisy.202000085,openalex,RC-5694,"Memristors -- from In-memory computing, Deep Learning Acceleration, Spiking Neural Networks, to the Future of Neuromorphic and Bio-inspired Computing",2020,Research Portal (King's College London),10.48550/arxiv.2004.14942,arxiv|openalex,same,high,1,Crossref 10.1002/aisy.202000085 and arXiv:2004.14942 return the identical 6-author list; title differs only in dash/hyphenation and Wiley soft-hyphen markup,Identical authors and year; only punctuation differs.,Distinct DOIs; arXiv record indexed under a KCL repository.
0.9857,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref: 10.21203/rs.3.rs-5008392/v1 carries relation is-preprint-of 10.1007/s11071-024-10821-6; both list Kobiolka, Habermann, Yamakou, 2024",RC-4928,Reduced-order adaptive synchronization in a chaotic neural network with parameter mismatch: A dynamical system vs. machine learning approach,2024,Research Square,10.21203/rs.3.rs-5008392/v1,openalex,RC-6439,Reduced-order adaptive synchronization in a chaotic neural network with parameter mismatch: a dynamical system versus machine learning approach,2024,Nonlinear Dynamics,10.1007/s11071-024-10821-6,arxiv|openalex,same,high,1,"Crossref: 10.21203/rs.3.rs-5008392/v1 carries relation is-preprint-of 10.1007/s11071-024-10821-6; both list Kobiolka, Habermann, Yamakou, 2024",Crossref explicitly links the Research Square posting as the preprint of the Nonlinear Dynamics article.,"Different venues and DOIs, title wording differs ('vs.' vs 'versus')."
0.9845,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.3389/fnins.2025.1570783 has-preprint -> 10.1101/2025.02.04.636401; identical 7-author list,RC-4770,Modular architecture confers robustness to damage and facilitates recovery in spiking neural networks modeling in vitro neurons,2025,Frontiers in Neuroscience,10.3389/fnins.2025.1570783,openalex,RC-5478,Modular architecture confers robustness to damage and facilitates recovery in spiking neural networks modeling <i>in vitro</i> neurons,2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.02.04.636401,openalex,same,high,1,Crossref 10.3389/fnins.2025.1570783 has-preprint -> 10.1101/2025.02.04.636401; identical 7-author list,Publisher-asserted preprint linkage plus identical authors and title.,Separately deposited items with distinct DOIs.
0.9823,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1017/njg.2022.15 title identical once <i>b</i> markup stripped; TNO-affiliated authors match a TNO repository copy,RC-0391,Statistical analysis of static and dynamic predictors for seismic b-value variations in the Groningen gas field,2022,TNO Repository,,openalex,RC-4855,Statistical analysis of static and dynamic predictors for seismic<i>b</i>-value variations in the Groningen gas field,2022,Netherlands Journal of Geosciences – Geologie en Mijnbouw,10.1017/njg.2022.15,openalex,same,high,1,Crossref 10.1017/njg.2022.15 title identical once <i>b</i> markup stripped; TNO-affiliated authors match a TNO repository copy,Identical title and year; TNO repository deposit of the NJG article.,Record a carries no DOI.
0.9823,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1063/5.0315384 lists Kobayashi, Nakai, Saiki, Tsutsumi; arXiv:2509.12733v2 has the exact title of record b and the identical four authors",RC-3730,On the attractor in high-dimensional neural network dynamics of reservoir computing: A Lyapunov analysis viewpoint,2026,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0315384,openalex,RC-5957,On the attractor in a high-dimensional neural network dynamics of reservoir computing: Lyapunov analysis viewpoint,2025,arXiv,,arxiv,same,high,1,"Crossref 10.1063/5.0315384 lists Kobayashi, Nakai, Saiki, Tsutsumi; arXiv:2509.12733v2 has the exact title of record b and the identical four authors",Same four authors; title differs only by articles.,No publisher-asserted preprint relation.
0.9802,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",arXiv 2508.16042 authors byte-identical to Crossref 10.1002/advs.202517334,RC-3858,Compact Optical Reservoir Computing via Luminescence Dynamics in Rare‐Earth Ions‐Doped Nanocrystals,2025,Advanced Science,10.1002/advs.202517334,openalex,RC-5944,Compact All optical Reservoir Computing via Luminescence Dynamics in Rare-earth Ions-doped Nanocrystals,2025,arXiv,,arxiv,same,high,1,arXiv 2508.16042 authors byte-identical to Crossref 10.1002/advs.202517334,"Identical eight-author list, arXiv preprint three months ahead of Advanced Science.",'All-optical' vs 'Optical' is a technical qualifier.
0.975,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1109/cdc49753.2023.10383680 sole author Goswami; arXiv 2304.00198 same sole author, conference length; titles differ only by 'the'",RC-2276,Sequential Learning from Noisy Data: Data-Assimilation Meets the Echo-State Network,2023,,10.1109/cdc49753.2023.10383680,openalex,RC-5783,Sequential Learning from Noisy Data: Data-Assimilation Meets Echo-State Network,2023,arXiv (Cornell University),10.48550/arxiv.2304.00198,arxiv|openalex,same,high,1,"Crossref 10.1109/cdc49753.2023.10383680 sole author Goswami; arXiv 2304.00198 same sole author, conference length; titles differ only by 'the'","Sole author, year and length match; arXiv preprint of the CDC 2023 paper.",arXiv record has no journal-ref linking it to CDC.
0.9735,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1364/oe.522336 is the article; 10.1364/oe.551214 is titled '...: erratum', a separate one-page 2025 notice",RC-1808,Photonic implementation of the input and reservoir layers for a reservoir computing system based on a single VCSEL with two Mach-Zehnder modulators,2024,Optics Express,10.1364/oe.522336,openalex,RC-4054,Photonic implementation of the input and reservoir layers for a reservoir computing system based on a single VCSEL with two Mach-Zehnder modulators: erratum,2024,Optics Express,10.1364/oe.551214,openalex,different,high,1,"10.1364/oe.522336 is the article; 10.1364/oe.551214 is titled '...: erratum', a separate one-page 2025 notice",Same seven authors; erratum title is the article title plus one word.,An erratum is a distinct record.
0.9707,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1002/smll.202506397 title identical after stripping <sub>3</sub> and normalising non-breaking hyphens,RC-0064,Intrinsic Disordered Network in Multiferroic YMnO3 Single Crystals for In-Materio Physical Reservoir Computing Through Tuneable Domain-Wall Structure,2025,,,openalex,RC-2125,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure,2025,Small,10.1002/smll.202506397,openalex,same,high,1,Crossref 10.1002/smll.202506397 title identical after stripping <sub>3</sub> and normalising non-breaking hyphens,"Title matches modulo markup, same year 2025.",Record a has no DOI or venue.
0.9689,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",OpenAlex abstracts for 10.1109/twc.2021.3051317 and arXiv:2003.06923 near-verbatim identical; same five authors,RC-3606,RCNet: Incorporating Structural Information Into Deep RNN for Online MIMO-OFDM Symbol Detection With Limited Training,2021,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3051317,openalex,RC-5691,RCNet: Incorporating Structural Information into Deep RNN for MIMO-OFDM Symbol Detection with Limited Training,2020,arXiv (Cornell University),10.48550/arxiv.2003.06923,arxiv|openalex,same,high,1,OpenAlex abstracts for 10.1109/twc.2021.3051317 and arXiv:2003.06923 near-verbatim identical; same five authors,Identical authors and word-for-word abstract.,Published title adds 'Online'; no journal-ref.
0.9682,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",RWTH Publications record authors match Crossref 10.1002/smll.202504066 including Valov of RWTH Aachen,RC-0061,Dynamic Monolayer WSe2 Electrolyte-Gated Transistor with Coexistent Double Relaxation Timescale for Enhanced Physical Reservoir Computing,2025,RWTH Publications (RWTH Aachen),,openalex,RC-1387,Dynamic Monolayer WSe<sub>2</sub> Electrolyte‐Gated Transistor with Coexistent Double Relaxation Timescale for Enhanced Physical Reservoir Computing,2025,Small,10.1002/smll.202504066,openalex,same,high,1,RWTH Publications record authors match Crossref 10.1002/smll.202504066 including Valov of RWTH Aachen,Institutional-repository copy; titles differ only by subscript markup.,Repository record carries no DOI.
0.9677,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1038/s41467-020-20692-1 asserts has-preprint 10.21203/rs.3.rs-40717/v1, reciprocated; identical six authors",RC-0413,Dynamic memristor-based reservoir computing for high-efficiency temporal signal processing,2021,Nature Communications,10.1038/s41467-020-20692-1,openalex,RC-3677,Dynamic Memristor-based Reservoir Computing for High-Efficiency Spatiotemporal Signal Processing,2020,Research Square,10.21203/rs.3.rs-40717/v1,openalex,same,high,1,"Crossref 10.1038/s41467-020-20692-1 asserts has-preprint 10.21203/rs.3.rs-40717/v1, reciprocated; identical six authors",Bidirectional publisher-asserted preprint relation.,Titles differ on a substantive word (spatiotemporal vs temporal).
0.9677,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1063/5.0283424 and arXiv 2506.09546 share the identical five authors; title differs only by inserting 'testing',RC-4760,Data-driven performance measures using global properties of attractors for testing black-box surrogate models of chaotic systems,2025,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0283424,openalex,RC-5925,Data-Driven Performance Measures using Global Properties of Attractors for Black-Box Surrogate Models of Chaotic Systems,2025,arXiv (Cornell University),10.48550/arxiv.2506.09546,arxiv|openalex,same,high,1,Crossref 10.1063/5.0283424 and arXiv 2506.09546 share the identical five authors; title differs only by inserting 'testing',Identical five-author list and year.,Word added in journal title; no explicit has-preprint relation.
0.9661,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1103/physreva.110.022446 and arXiv:2310.00790 both list the identical six authors; only title difference is an inserted 'the',RC-3998,Quantum reservoir complexity by the Krylov evolution approach,2024,Physical Review A,10.1103/physreva.110.022446,openalex,RC-5809,Quantum reservoir complexity by Krylov evolution approach,2023,arXiv (Cornell University),10.48550/arxiv.2310.00790,arxiv|openalex,same,high,1,10.1103/physreva.110.022446 and arXiv:2310.00790 both list the identical six authors; only title difference is an inserted 'the',Same six authors in order; one-word copy-edit.,Different years; no arXiv journal-ref.
0.9658,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",UPM repository authors match Crossref 10.1021/acsanm.4c04063 exactly; Shafie is the UPM co-author,RC-0284,Memristive devices based on necklace-like structure Ag@TiO2 nanowire networks for neuromorphic learning and reservoir computing,2024,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),,openalex,RC-2064,Memristive Devices Based on Necklace-like Structure Ag@TiO<sub>2</sub> Nanowire Networks for Neuromorphic Learning and Reservoir Computing,2024,ACS Applied Nano Materials,10.1021/acsanm.4c04063,openalex,same,high,1,UPM repository authors match Crossref 10.1021/acsanm.4c04063 exactly; Shafie is the UPM co-author,"Same eight authors, title identical apart from HTML subscript markup.",Repository record has no DOI of its own.
0.9649,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","DataCite 10.5281/zenodo.5153334 resourceTypeGeneral='Dataset', titled '- Dataset'",RC-0417,In materia reservoir computing with a fully memristive architecture based on self-organizing nanowire networks,2021,Nature Materials,10.1038/s41563-021-01099-9,openalex,RC-3820,In materia reservoir computing with a fully memristive architecture based on self-organizing nanowire networks - Dataset,2021,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.5153334,openalex,different,high,1,"DataCite 10.5281/zenodo.5153334 resourceTypeGeneral='Dataset', titled '- Dataset'",Dataset carries the paper's exact title and team.,"Zenodo dataset deposit, distinct object type from the Nature Materials article."
0.9623,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",HAL hal-04552115 is EMRS 2021 Spring meeting (2021-05-31); 10.1117/12.2567214 is an SPIE Aug 2020 proceedings-article. Two different invited talks a year apart,RC-0271,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2021,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-3748,Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2020,,10.1117/12.2567214,openalex,different,high,1,HAL hal-04552115 is EMRS 2021 Spring meeting (2021-05-31); 10.1117/12.2567214 is an SPIE Aug 2020 proceedings-article. Two different invited talks a year apart,Identical title and sole author.,"HAL records a distinct 2021 EMRS communication, separately citable."
0.959,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.35848/1347-4065/adb75b JJAP 64(3); OpenAlex W7170115438 is the DOI-less IRDB deposit with identical author trio and year,RC-0056,Multimodal object recognition and real-time anomaly detection by physical reservoir computing using an Ag2S reservoir,2025,Institutional Repositories DataBase (IRDB),,openalex,RC-2023,Multimodal object recognition and real-time anomaly detection by physical reservoir computing using an Ag<sub>2</sub>S reservoir,2025,Japanese Journal of Applied Physics,10.35848/1347-4065/adb75b,openalex,same,high,1,Crossref 10.35848/1347-4065/adb75b JJAP 64(3); OpenAlex W7170115438 is the DOI-less IRDB deposit with identical author trio and year,IRDB institutional-repository copy of the same JJAP article.,Record a has no DOI.
0.9583,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1103/3b3z-29f4 declares has-preprint = 10.48550/arXiv.2504.08224, exactly record b",RC-1141,All-optical echo state network reservoir computing,2025,Physical Review Research,10.1103/3b3z-29f4,openalex,RC-5902,Optical Echo State Network Reservoir Computing,2025,arXiv (Cornell University),10.48550/arxiv.2504.08224,arxiv|openalex,same,high,1,"Crossref 10.1103/3b3z-29f4 declares has-preprint = 10.48550/arXiv.2504.08224, exactly record b",Crossref declares the preprint relation directly.,Published title gained 'All-optical'.
0.9569,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",OpenAlex W3145607888 biblio vol 25 issue 4 pp.123-126 and authors match Crossref 10.2299/jsp.25.123,RC-0054,Physical Reservoir Computing on Atomic Switch Arrays with High Precision and Excellent Memory Characteristics,2021,The Japan Society of Applied Physics,,openalex,RC-2012,Reservoir Computing on Atomic Switch Arrays with High Precision and Excellent Memory Characteristics,2021,Journal of Signal Processing,10.2299/jsp.25.123,openalex,same,high,1,OpenAlex W3145607888 biblio vol 25 issue 4 pp.123-126 and authors match Crossref 10.2299/jsp.25.123,"Same volume, issue, pages, year and authors; mis-attributed index entry.",Leading word 'Physical' differs; venue string points to a different society.
0.9558,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.14293/s2199-1006.1.sor-uncat.asz2jp.v1.rexzsh is type 'peer-review', ScienceOpen, author Jalali; 10.3390/dynamics4030033 is the article reviewed",RC-0552,Classical and Quantum Physical Reservoir Computing for Onboard Artificial Intelligence Systems: A Perspective,2024,Dynamics,10.3390/dynamics4030033,arxiv|openalex,RC-2750,"Review of ""Classical and Quantum Physical Reservoir Computing for Onboard Artificial Intelligence Systems: A Perspective""",2025,,10.14293/s2199-1006.1.sor-uncat.asz2jp.v1.rexzsh,openalex,different,high,1,"10.14293/s2199-1006.1.sor-uncat.asz2jp.v1.rexzsh is type 'peer-review', ScienceOpen, author Jalali; 10.3390/dynamics4030033 is the article reviewed",The review's title embeds the article title verbatim.,A peer-review record by a different author is a distinct object.
0.9549,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Two distinct F1000Research referee-report DOIs (.r401540, .r403945) on the same article version, different reviewers and outcomes",RC-3974,Referee report. For: Deep Learning based hybrid residual attention and echo state network for high-accuracy heart disease prediction [version 1; peer review: 1 approved with reservations],2025,Faculty of 1000 Research Ltd,10.5256/f1000research.182263.r401540,openalex,RC-4034,"Referee report. For: Deep Learning based hybrid residual attention and echo state network for high-accuracy heart disease prediction [version 1; peer review: 2 approved with reservations, 1 not approved]",2025,Faculty of 1000 Research Ltd,10.5256/f1000research.182263.r403945,openalex,different,high,1,"Two distinct F1000Research referee-report DOIs (.r401540, .r403945) on the same article version, different reviewers and outcomes",Both are peer review on the same article version.,Two separate referee reports with their own DOIs.
0.9537,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1186/s40623-023-01896-3 declares has-preprint -> 10.22541/essoar.167397423.39654060/v1, reciprocated; same three authors",RC-3035,Machine learning emulator for physics-based prediction of ionospheric potential response to solar wind variations,2023,Earth Planets and Space,10.1186/s40623-023-01896-3,openalex,RC-3306,Machine learning emulator for physics-based prediction of ionospheric response to solar wind variations,2023,,10.22541/essoar.167397423.39654060/v1,openalex,same,high,1,"Crossref 10.1186/s40623-023-01896-3 declares has-preprint -> 10.22541/essoar.167397423.39654060/v1, reciprocated; same three authors",Crossref asserts the relation between exactly these DOIs.,Preprint title omits 'potential'.
0.9532,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.2514/6.2025-0332.c1 is 'Correction: ...' , distinct proceedings item from 10.2514/6.2025-0332",RC-2664,Systems Identification and Next-Generation Reservoir Computing for Modeling Micro Gas Turbine Engine Performance,2025,,10.2514/6.2025-0332,openalex,RC-2669,Correction: Systems Identification and Next-Generation Reservoir Computing for Modeling Micro Gas Turbine Engine Performance,2025,,10.2514/6.2025-0332.c1,openalex,different,high,1,"10.2514/6.2025-0332.c1 is 'Correction: ...' , distinct proceedings item from 10.2514/6.2025-0332",Correction concerns the same AIAA paper.,A correction notice is a separate citable item.
0.9524,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",arXiv 2511.16557v1 has identical title and identical eight-author list as Crossref 10.1021/acsaelm.6c00504,RC-3913,Interfacial and Bulk Switching MoS <sub>2</sub> Memristors for an All-2D Reservoir Computing Framework,2026,ACS Applied Electronic Materials,10.1021/acsaelm.6c00504,openalex,RC-5982,Interfacial and bulk switching MoS2 memristors for an all-2D reservoir computing framework,2025,arXiv,,arxiv,same,high,1,arXiv 2511.16557v1 has identical title and identical eight-author list as Crossref 10.1021/acsaelm.6c00504,Verbatim title and full author-list match.,arXiv record carries no publisher-asserted link.
0.9516,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",bioRxiv 10.1101/2023.05.31.543092 and Research Square 10.21203/rs.3.rs-3084265/v1 share eight authors and abstract; RS declares is-preprint-of 10.1038/s41467-024-44900-4,RC-2243,<tt>conn2res</tt> : A toolbox for connectome-based reservoir computing,2023,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2023.05.31.543092,openalex,RC-2350,conn2res: A toolbox for connectome-based reservoir computing,2023,Research Square,10.21203/rs.3.rs-3084265/v1,openalex,same,high,1,bioRxiv 10.1101/2023.05.31.543092 and Research Square 10.21203/rs.3.rs-3084265/v1 share eight authors and abstract; RS declares is-preprint-of 10.1038/s41467-024-44900-4,Identical authors and abstract; record a is the <tt>-markup variant of the same conn2res manuscript.,Two separate preprint-server deposits with independent DOIs.
0.9516,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1007/978-3-030-28468-8_9 is a Springer chapter by Xu, Li, Meng; 10.1109/bigdataservice.2019.00045 is an IEEE paper by Xu, Shamrooz, Li, Hou about WATER network traffic",RC-4036,Self-similarity Analysis and Application of Network Traffic,2019,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",10.1007/978-3-030-28468-8_9,openalex,RC-5179,Self-Similarity Analysis and Application of Water Network Traffic,2019,,10.1109/bigdataservice.2019.00045,openalex,different,high,1,"10.1007/978-3-030-28468-8_9 is a Springer chapter by Xu, Li, Meng; 10.1109/bigdataservice.2019.00045 is an IEEE paper by Xu, Shamrooz, Li, Hou about WATER network traffic","Overlapping authors, same year, titles match at 0.95.","'Water Network Traffic' is a different subject; author lists, venues and pages all differ."
0.9452,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",arXiv 2112.15270 returns the identical 16-author list as Crossref 10.1038/s42256-023-00609-5,RC-2807,Echo state graph neural networks with analogue random resistive memory arrays,2023,Nature Machine Intelligence,10.1038/s42256-023-00609-5,openalex,RC-5740,Echo state graph neural networks with analogue random resistor arrays,2021,arXiv (Cornell University),10.48550/arxiv.2112.15270,arxiv|openalex,same,high,1,arXiv 2112.15270 returns the identical 16-author list as Crossref 10.1038/s42256-023-00609-5,Full author list matches; Dec-2021 preprint of the Feb-2023 Nat. Mach. Intell. paper.,'resistive memory arrays' vs 'resistor arrays' is a terminology change.
0.9437,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1587/nolta.17.21 issued 2026 reconciles the year discrepancy; titles identical once <i>C. elegans</i> entities decoded,RC-0326,Modeling signal transduction pathways with biologically-inspired deep ESN for membrane voltage dynamics in C. elegans olfactory neurons,2026,Institutional Repositories DataBase (IRDB),,openalex,RC-5157,Modeling signal transduction pathways with biologically-inspired deep ESN for membrane voltage dynamics in &lt;i&gt;C. elegans&lt;/i&gt; olfactory neurons,2025,Nonlinear Theory and Its Applications IEICE,10.1587/nolta.17.21,openalex,same,high,1,Crossref 10.1587/nolta.17.21 issued 2026 reconciles the year discrepancy; titles identical once <i>C. elegans</i> entities decoded,Byte-identical title after entity decoding; Crossref date reconciles the year conflict.,Record a is an IRDB repository stub with no DOI and a different stated year.
0.943,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1515/nanoph-2023-0708 is the article; 10.1515/nanoph-2024-0713 is 'Corrigendum to: ...', a one-page 2025 notice",RC-1634,Experimental demonstration of a photonic reservoir computing system based on Fabry Perot laser for multiple tasks processing,2024,Nanophotonics,10.1515/nanoph-2023-0708,openalex,RC-3966,Corrigendum to: Experimental demonstration of a photonic reservoir computing system based on Fabry Perot laser for multiple tasks processing,2025,Nanophotonics,10.1515/nanoph-2024-0713,openalex,different,high,1,"10.1515/nanoph-2023-0708 is the article; 10.1515/nanoph-2024-0713 is 'Corrigendum to: ...', a one-page 2025 notice",Identical eight authors; corrigendum quotes the title verbatim.,A correction is a distinct record.
0.9419,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","arXiv 2307.10950 and NJP 10.1088/1367-2630/acfba6 abstracts word-for-word identical apart from direct/evanescent; both Boikov, Brunner, De Rossi 2023",RC-1628,Evanescent coupling of nonlinear integrated cavities for all-optical reservoir computing,2023,New Journal of Physics,10.1088/1367-2630/acfba6,openalex,RC-5802,Direct coupling of nonlinear integrated cavities for all-optical reservoir computing,2023,arXiv (Cornell University),10.48550/arxiv.2307.10950,arxiv|openalex,same,high,1,"arXiv 2307.10950 and NJP 10.1088/1367-2630/acfba6 abstracts word-for-word identical apart from direct/evanescent; both Boikov, Brunner, De Rossi 2023",Identical abstract and authors two months apart; retitled for publication.,'Direct' and 'evanescent' coupling are physically distinct schemes.
0.9412,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1002/smll.202402961 is the research article; 10.1002/smll.202470296 carries '(Small 40/2024)' - the Wiley issue cover item,RC-1703,Reconfigurable Resistive Switching Memory for Telegraph Code Sensing and Recognizing Reservoir Computing Systems,2024,Small,10.1002/smll.202402961,openalex,RC-3968,Reconfigurable Resistive Switching Memory for Telegraph Code Sensing and Recognizing Reservoir Computing Systems (Small 40/2024),2024,Small,10.1002/smll.202470296,openalex,different,high,1,10.1002/smll.202402961 is the research article; 10.1002/smll.202470296 carries '(Small 40/2024)' - the Wiley issue cover item,"Identical authors, journal, volume and issue.",Wiley cover-picture entries are distinct front-matter records. HOUSE POLICY NEEDED.
0.9398,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1002/advs.202370235 is a Wiley cover-picture item, references-count 0, no abstract, issue 34/2023; 10.1002/advs.202305074 is the article with 41 references",RC-1922,Embodying Multifunctional Mechano‐Intelligence in and Through Phononic Metastructures Harnessing Physical Reservoir Computing (Adv. Sci. 34/2023),2023,Advanced Science,10.1002/advs.202370235,openalex,RC-6189,Embodying Multifunctional Mechano‐Intelligence in and Through Phononic Metastructures Harnessing Physical Reservoir Computing,2023,Advanced Science,10.1002/advs.202305074,arxiv|openalex,different,high,1,"Crossref 10.1002/advs.202370235 is a Wiley cover-picture item, references-count 0, no abstract, issue 34/2023; 10.1002/advs.202305074 is the article with 41 references",Same three authors and base title.,"Separately-DOI'd cover item with zero references, not the research article. HOUSE POLICY NEEDED."
0.9394,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1007/s11063-020-10267-y has 2 authors (2020); 10.1016/j.asoc.2024.111289 has 5 authors (2024),RC-0649,Fractional Order Echo State Network for Time Series Prediction,2020,Neural Processing Letters,10.1007/s11063-020-10267-y,openalex,RC-0670,Fractional-integer-order echo state network for time series prediction,2024,Applied Soft Computing,10.1016/j.asoc.2024.111289,openalex,different,high,1,10.1007/s11063-020-10267-y has 2 authors (2020); 10.1016/j.asoc.2024.111289 has 5 authors (2024),Shared first author and parallel title.,"'Fractional-integer-order' is a distinct model; different authors, journals, four years apart."
0.9386,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1007/s42484-025-00245-9 is 'Correction to: ...' , distinct from 2024 original 10.1007/s42484-024-00188-7",RC-2662,Correction to: Quantum next generation reservoir computing: an efficient quantum algorithm for forecasting quantum dynamics,2025,Quantum Machine Intelligence,10.1007/s42484-025-00245-9,openalex,RC-6161,Quantum next generation reservoir computing: an efficient quantum algorithm for forecasting quantum dynamics,2024,Quantum Machine Intelligence,10.1007/s42484-024-00188-7,arxiv|openalex,different,high,1,"10.1007/s42484-025-00245-9 is 'Correction to: ...' , distinct from 2024 original 10.1007/s42484-024-00188-7",Same authors and journal.,A correction notice is a separate citable item.
0.938,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1364/prj.558405 declares has-preprint = 10.1364/opticaopen.28297334 and the reverse relation is reciprocated,RC-1676,All-optical spiking processing and reservoir computing with a passive silicon microring and wavelength-time division multiplexing,2025,Photonics Research,10.1364/prj.558405,openalex,RC-3905,All-optical passive spiking processing and reservoir computing with a silicon microring and wavelength-time division multiplexing,2025,,10.1364/opticaopen.28297334,openalex,same,high,1,Crossref 10.1364/prj.558405 declares has-preprint = 10.1364/opticaopen.28297334 and the reverse relation is reciprocated,Explicit bidirectional preprint/published relation.,Word order differs between the two titles.
0.9359,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Both type 'peer-review' of ESD preprint esd-2019-63 but distinct referee comments, RC1 2020-01-13 and RC2 2020-02-07",RC-5364,"Review of ""Reconstructing coupled time series in climate systems by machine learning""",2020,,10.5194/esd-2019-63-rc1,openalex,RC-5414,Reconstructing Coupled Time Series in Climate Systems by Machine Learning,2020,,10.5194/esd-2019-63-rc2,openalex,different,high,1,"Both type 'peer-review' of ESD preprint esd-2019-63 but distinct referee comments, RC1 2020-01-13 and RC2 2020-02-07",Both target the identical manuscript.,RC1 and RC2 are two different referee reports with separate DOIs.
0.9353,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","arXiv holds two distinct preprints by the same four authors: 2512.00777v1 'Bidirectional' = record a, and 2512.19451v1 'Parallel Bidirectional' which carries DOI 10.1587/nolta.17.79 = record b. The NOLTA paper is the published version of the OTHER preprint",RC-5984,Sign Language Recognition using Bidirectional Reservoir Computing,2025,Institutional Repositories DataBase (IRDB),10.48550/arxiv.2512.00777,arxiv|openalex,RC-6382,Sign language recognition using parallel bidirectional reservoir computing,2025,Nonlinear Theory and Its Applications IEICE,10.1587/nolta.17.79,arxiv|openalex,different,high,1,"arXiv holds two distinct preprints by the same four authors: 2512.00777v1 'Bidirectional' = record a, and 2512.19451v1 'Parallel Bidirectional' which carries DOI 10.1587/nolta.17.79 = record b. The NOLTA paper is the published version of the OTHER preprint",Same four authors and topic one month apart.,arXiv explicitly links the NOLTA DOI to the other preprint.
